,vol_10_put,vol_bf_put,vol_rr_put,vol_atm,vol_bf_call,vol_rr_call,vol_10_call
ON,0.20398822914000891,0.20532274045882348,0.20540659964783345,0.20980000000062707,0.21716031833322863,0.21740659964779283,0.22705297636112104
1W,0.13419802865627534,0.13466680834797323,0.13477758674869947,0.13910000003575027,0.14732551311100922,0.14777758677585015,0.15949601638555874
2W,0.13156775250373012,0.13254437723092274,0.13269543799092087,0.1374999999995916,0.1461857920048811,0.14669543799103693,0.1588534391500614
1M,0.1359352611708491,0.13710996569047998,0.13728392196744407,0.14239999999833702,0.15172739038931105,0.1522839219653175,0.16528349405042325
2M,0.13113068961220456,0.13234981412998512,0.13258634488123083,0.13839999999999536,0.1493175200344385,0.15008634488123676,0.16568890136525685
3M,0.13004759385828651,0.13137825836703007,0.1316851986846312,0.13820000000005275,0.15069580011704536,0.15168519868462368,0.1698933504649462
6M,0.12927918137662744,0.13042643191028502,0.13083500607599735,0.1381999999950036,0.15343301988252125,0.15483500607748424,0.1781146201430674
1Y,0.12830005997249103,0.13011994416507153,0.13076525184034188,0.13940000000000496,0.15784801938197018,0.15976525184032772,0.18895751039317218
