,alpha,rho,nu
ON,0.20831557194821457,0.2704260246667465,5.922766188004881
1W,0.13723490085008191,0.3101104317736514,3.155176488660681
2W,0.1357209353433905,0.3383518380877142,2.2281222820066358
1M,0.14056313176226154,0.348109658308168,1.5052168597279225
2M,0.13630220412597732,0.3758507756018412,1.218256336433378
3M,0.13588034127941673,0.39948768007340796,1.0497979569650584
6M,0.13541409103534793,0.42440883412122865,0.8320175293384049
1Y,0.13645913057395806,0.4727770383409826,0.6316390101780328
